AÑO,EQUIPO_LOCAL,VICTORIAS,DERROTAS,EMPATES,LOCAL_GOL,LOCAL_GOL_HT,LOCAL_AMARILLA,LOCAL_ROJA,LOCAL_TIRO_ARCO
2020,Southampton,8,7,2,24,14,24,2,84
2020,Tottenham,9,4,3,25,17,26,0,70
2020,Watford,4,3,2,13,4,15,1,25
2020,West Brom,1,5,2,5,5,10,2,24
2020,West Ham,7,5,6,30,16,19,0,79
2020,Wolves,7,4,6,20,7,23,0,72
2021,Arsenal,12,4,4,32,14,26,0,101
2021,Aston Villa,8,9,4,29,12,34,3,78
2021,Brentford,3,5,1,10,3,16,0,38
2021,Brighton,7,5,8,23,11,34,1,86
2021,Burnley,2,8,9,17,10,33,0,72
2021,Chelsea,10,4,7,36,16,27,1,126
2021,Crystal Palace,8,6,7,29,11,35,0,80
2021,Everton,6,10,4,22,9,30,1,74
2021,Fulham,1,9,1,3,2,17,1,33
2021,Leeds,7,6,7,25,11,43,1,99
2021,Leicester,11,8,1,39,17,20,0,114
2021,Liverpool,9,6,5,30,14,29,0,114
2021,Man City,17,4,1,60,27,23,1,157
2021,Man United,11,6,3,45,18,37,1,118
2021,Newcastle,4,9,8,30,18,37,3,91
2021,Norwich,1,7,2,5,3,18,0,36
2021,Sheffield United,5,6,0,8,3,22,1,32
2021,Southampton,6,6,8,24,16,26,2,86
2021,Tottenham,14,6,2,41,18,31,1,118
2021,Watford,2,6,1,11,6,21,0,41
2021,West Brom,2,5,4,10,6,16,0,35
2021,West Ham,11,6,3,38,19,27,1,91
2021,Wolves,7,10,3,17,9,34,0,77
2022,Arsenal,13,3,1,40,15,21,1,114
2022,Aston Villa,6,7,5,26,14,29,1,94
2022,Bournemouth,3,4,2,9,4,17,0,29
2022,Brentford,7,5,6,27,11,26,2,77
2022,Brighton,5,7,6,24,9,29,0,82
2022,Burnley,4,6,2,10,3,16,0,44
2022,Chelsea,8,3,5,26,10,32,1,76
2022,Crystal Palace,7,6,4,19,9,28,2,68
2022,Everton,7,9,3,21,8,41,4,78
2022,Fulham,4,2,3,16,6,14,1,43
2022,Leeds,5,9,4,22,8,44,2,68
2022,Leicester,7,6,5,27,13,20,0,75
2022,Liverpool,15,1,3,50,23,17,1,135
2022,Man City,14,2,2,58,28,12,1,116
2022,Man United,10,2,5,27,11,34,0,89
2022,Newcastle,12,1,5,30,12,31,0,91
2022,Norwich,2,6,1,7,4,11,0,27
2022,Nott'm Forest,3,3,2,10,6,22,0,32
2022,Southampton,5,9,4,23,12,24,0,92
2022,Tottenham,12,5,0,43,17,33,0,106
2022,Watford,0,9,1,6,4,12,1,28
2022,West Ham,8,7,4,24,11,29,0,80
2022,Wolves,6,10,3,20,13,38,3,68
2023,Arsenal,14,3,5,53,22,22,1,136
2023,Aston Villa,17,2,2,50,24,52,0,110
2023,Bournemouth,6,8,5,22,10,27,1,87
2023,Brentford,10,5,6,37,19,34,2,107
2023,Brighton,12,3,6,46,20,37,1,160
2023,Burnley,1,9,0,10,4,14,1,33
2023,Chelsea,6,8,8,25,10,48,1,102
2023,Crystal Palace,5,7,9,22,8,39,1,78
2023,Everton,7,12,2,20,8,41,1,109
2023,Fulham,10,8,2,34,14,34,1,83
2023,Leeds,2,4,5,13,7,24,1,50
2023,Leicester,3,6,2,14,10,18,2,52
2023,Liverpool,14,0,5,45,19,31,1,120
2023,Luton,2,6,2,13,3,22,0,35
2023,Man City,16,0,3,53,29,25,2,110
2023,Man United,16,4,2,37,12,40,1,134
2023,Newcastle,14,4,2,42,18,36,1,122
2023,Nott'm Forest,8,6,7,31,12,43,2,73
2023,Sheffield United,2,7,1,10,4,31,0,33
2023,Southampton,1,8,2,10,4,16,0,38
2023,Tottenham,13,7,1,36,17,49,3,130
2023,West Ham,10,4,5,34,19,29,1,80
2023,Wolves,12,4,4,30,13,47,3,91
2024,Arsenal,5,1,0,16,8,13,0,35
2024,Aston Villa,2,3,1,11,5,13,1,31
2024,Bournemouth,3,2,3,12,3,18,1,44
2024,Brentford,2,2,3,10,2,13,0,31
2024,Brighton,2,1,2,6,4,9,1,22
2024,Burnley,1,2,4,7,3,10,0,32
2024,Chelsea,4,1,1,18,10,17,0,50
2024,Crystal Palace,2,2,1,10,5,9,0,22
2024,Everton,1,1,3,5,2,7,0,25
2024,Fulham,3,2,1,10,5,11,0,32
2024,Liverpool,6,1,1,21,5,15,0,80
2024,Luton,2,3,1,11,4,8,0,35
2024,Man City,6,0,2,19,5,7,0,56
2024,Man United,2,1,2,10,5,10,0,29
2024,Newcastle,3,1,3,20,10,5,1,43
2024,Nott'm Forest,2,3,2,11,7,10,0,34
2024,Sheffield United,0,3,3,7,2,14,2,22
2024,Tottenham,5,1,0,14,1,9,0,32
2024,West Ham,1,2,5,9,4,14,0,29
2024,Wolves,2,3,0,7,2,13,0,24
